Título,Data,Local,Link,Fonte,Hash
2 Etapa Circuito de Surf Alejo Muniz,11/09/2025,Bombinhas/SC,https://www.atletis.com.br/evento/2-etapa-circuito-de-surf-alejo-muniz-1013,Atletis,1335488c
Circuito Hawaii ASM válido - 4° etapa do Catarinense de Base,12/09/2025,Florianópolis/SC,https://www.atletis.com.br/evento/circuito-hawaii-asm-2372,Atletis,4f629b8f
Circuito Catarinense de Orientação - 4ª e 5ª Etapas CICOr 2025,13/09/2025,Araranguá/SC,https://www.atletis.com.br/evento/circuito-catarinense-de-orientacao-444,Atletis,d1a8da23
FITNESS RUN,13/09/2025,Jaicós/PI,https://www.atletis.com.br/evento/fitness-run-2140,Atletis,66933df5
DESAFIO 100KM SETEMBRO,13/09/2025,BRASÍLIA - DF,https://centraldacorrida.com.br/,CentralDaCorrida,aec14b62
12ª CORRIDA DOS BANCÁRIOS,13/09/2025,Aracaju - SE,https://centraldacorrida.com.br/,CentralDaCorrida,4af0b094
4° CORRIDA E CAMINHADA PELA VIDA,13/09/2025,Tramandaí - RS,https://centraldacorrida.com.br/,CentralDaCorrida,8a5b6cfb
Corrida do Soldado Trindade - GO,13/09/2025,Trindade  GO,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=1c2c33a4-384d-4f3a-9d9b-12f2a39986b9,MinhasInscricoes,07066bab
7 Batman e Batgirl Run Series Sao Paulo,13/09/2025,São Paulo  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=212fa750-7187-4616-8339-6404bd05c491,MinhasInscricoes,762c4430
STREET GAMES 2025- BASKET AND RUN,13/09/2025,São Paulo  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=3d96742c-d860-4d06-bb4b-1a97ec828c29,MinhasInscricoes,692809fb
Circuito das Estações 2025 - Primavera - Goiânia,13/09/2025,Goiânia - GO,https://www.ativo.com/calendario/eventos/america-do-sul/br/go/goiania/corrida-de-rua/39659/circuito-das-estacoes-2025-primavera-goiania/,Ativo,30562ba2
9a. ETAPA CTM RS 2025 - NOVA ROMA DO SUL,13/09/2025,NOVA ROMA DO SUL - RS,https://www.youmovin.com.br/evento/9a-etapa-ctm-rs-2025-_-nova-roma-do-sul_8086,YouMovin,be3b5cd0
CORRIDA BRISAS – EXCLUSIVA PARA MULHERES 2025,13/09/2025,BALNEÁRIO CAMBORIÚ - SC,https://vemcorrer.com/evento/308-corrida-brisas-n-exclusiva-para-mulheres-2025,VemCorrer,5d6f75de
Circuito das Estações 2025 – Primavera – Goiânia,13/09/2025,Goiânia Goiás,https://www.sporttimer.com.br/site/eventosel.php?pst=3093&ev=1044,SportTimer,3725202c
TREINÃO À BESSA – GOIÂNIA GOIÁS,13/09/2025,Goiânia Goiás,https://www.sporttimer.com.br/site/eventosel.php?pst=3079&ev=1043,SportTimer,553ef820
RANDONEIRO CRISTAL - BREVET CATALÃO,13/09/2025,Ipameri - GO,https://www.oxyscrono.com.br/evento/3949/randoneiro-cristal-brevet-catalao,OxyScrono,c5b993a3
Track&Field Run Series Shopping Paralela - Night,13/09/2025,SALVADOR,https://www.tfsports.com.br/run-series/shopping-paralela-night-25/,Track&Field,d915462b
OURICURI RUN,14/09/2025,Ouricuri/PE,https://www.atletis.com.br/evento/ouricuri-run-1238,Atletis,d6ee044e
Corrida Rústica Farroupilha,14/09/2025,Balneário Arroio do Silva/SC,https://www.atletis.com.br/evento/corrida-rustica-farroupilha-4105,Atletis,78ddcf99
1ª CORRIDA SOLIDÁRIA 2025,14/09/2025,Jardim/CE,https://www.atletis.com.br/evento/1-corrida-solidaria-2025-4949,Atletis,6df3a542
FESTIVAL DE NATAÇÃO EM ÁGUAS ABERTAS,14/09/2025,Brasília/DF,https://www.atletis.com.br/evento/festival-de-natacao-em-aguas-abertas-8561,Atletis,cb8b62f7
1° Corrida evolução fitness 5k,14/09/2025,Quixeré/CE,https://www.atletis.com.br/evento/1-corrida-evolucao-fitness-5k-8528,Atletis,315be23d
ÁGUAS DO CERRADO CHALLENGE - ETAPA BURITI,14/09/2025,Brasília/DF,https://www.atletis.com.br/evento/aguas-do-cerrado-challeng-etapa-buriti-243,Atletis,f6202da6
CORRIDA DESAFIO CULTURAL,14/09/2025,Pedras Grandes/SC,https://www.atletis.com.br/evento/corrida-desafio-cultural-7554,Atletis,bb24ebc4
1ª CORRIDA DE RUA MINIMARATONISTAS DO ASFALTO 5KM - SENADOR CANEDO GO,14/09/2025,Senador Canedo/GO,https://www.atletis.com.br/evento/1-corrida-minimaratonistas-do-asfalto-6930,Atletis,4c028639
CORRIDA DA INDEPENDENCIA 5K,14/09/2025,Rio de Janeiro/RJ,https://www.atletis.com.br/evento/corrida-da-independencia-5k-6186,Atletis,552ec172
CIRCUITO OAB - ETAPA PARAGOMINAS,14/09/2025,Paragominas - PA,https://centraldacorrida.com.br/,CentralDaCorrida,1f052412
COPA PALMAS TRIATHLON 2025 - 2ª ETAPA,14/09/2025,PALMAS - TO,https://centraldacorrida.com.br/,CentralDaCorrida,2de93e54
CIRCUITO SESC CORRIDA DE RUA PARNAIBA,14/09/2025,PARNAIBA - PI,https://centraldacorrida.com.br/,CentralDaCorrida,118b54a5
2º CORRIDA DA UNIMED ARAGUAÍNA,14/09/2025,Araguaína - TO,https://centraldacorrida.com.br/,CentralDaCorrida,ef6464a3
SINDY RUN,14/09/2025,Brasilia - DF,https://centraldacorrida.com.br/,CentralDaCorrida,77845f80
IPIRA FM RUNNING 2025,14/09/2025,Ipirá - BA,https://centraldacorrida.com.br/,CentralDaCorrida,13b41d01
CORRIDA COSTA ATACADÃO BRASÍLIA,14/09/2025,Brasília - DF,https://centraldacorrida.com.br/,CentralDaCorrida,e67339bc
CORRIDA E CAMINHADA SEST SENAT ITABAIANA,14/09/2025,ITABAIANA - SE,https://centraldacorrida.com.br/,CentralDaCorrida,e8b1a244
CORRIDA DA PÃO,14/09/2025,Brasília - DF,https://centraldacorrida.com.br/,CentralDaCorrida,ac42005d
Run Aruja 2025,14/09/2025,Arujá  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=63a8fae4-3428-4c37-ac7f-2430015871c0,MinhasInscricoes,aebf8286
1 meia maratona Internacional de Marilia - SP...,14/09/2025,Marília  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=031666b0-09fa-447a-b80f-9ddef0415d17,MinhasInscricoes,f4137f0f
Corridas de Montanha - Mairipora 2025,14/09/2025,Mairiporã  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=18e198e2-b967-42b8-bd6f-4cb14f871d2f,MinhasInscricoes,e4bd6deb
CIRCUITO RUNAWAY - ETAPA GARRA,14/09/2025,Osasco  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=74560a7b-7567-4f0a-8634-b9fd78474322,MinhasInscricoes,bd8f38e3
6 Corrida 17 BPMI,14/09/2025,São José do Rio Preto  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=b451f5f9-1e5d-466c-8c30-6c6247363cdd,MinhasInscricoes,1b2ec8d8
Corrida Good Run Sumare 2025,14/09/2025,Sumaré  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=9badd290-133f-4227-93c9-c4adb1598220,MinhasInscricoes,ba79f446
Color Explosion Run - Santos,14/09/2025,Santos  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=94ac7d76-225e-400f-9e0a-a19ca335b5cb,MinhasInscricoes,2b8d548f
VII Corrida dos Fortes 10K 2025,14/09/2025,Guarujá  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=2ad42c7d-736a-413a-8f2c-561fec2fea84,MinhasInscricoes,8928b97f
34 ANOS DE IBC MARABA - CORRIDA E CAMINHADA,14/09/2025,Marabá  PA,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=40025f75-18eb-4335-a3dc-fcea5404b4a1,MinhasInscricoes,3e26f4b6
2 Corrida da Independencia 5K,14/09/2025,Rio de Janeiro  RJ,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=f0c42345-e60d-4f01-8cc8-e8cfc4bb8db1,MinhasInscricoes,2301dc5a
4 Corrida Do Turismo - Foz Do Iguacu 2025,14/09/2025,Foz do Iguaçu  PR,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=2197b553-64ef-4c22-a04b-d74e102db83d,MinhasInscricoes,4aa611ec
2 Corrida Fadas 2025,14/09/2025,São Paulo  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=3330b8c1-b267-45f1-aa43-9f3ac662d04a,MinhasInscricoes,5014d787
Circuito Eco Ambiental IX Jundiai,14/09/2025,Jundiaí  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=fe3e4368-2e14-4f55-ab1f-2212f0084019,MinhasInscricoes,1d9403b9
1 Corrida Raizes e Origens Santo Andre 6K,14/09/2025,Santo André  SP,https://minhasinscricoes.com.br/pt-br/ClickEventos/Redirecionar?origem=1&keycode=63355709-b8f6-414c-b210-27ce3e69a854,MinhasInscricoes,29b76adf
Circuito das Estações 2025 - Primavera - Porto Alegre,14/09/2025,Porto Alegre - RS,https://www.ativo.com/calendario/eventos/america-do-sul/br/rs/porto-alegre/corrida-de-rua/39582/circuito-das-estacoes-2025-primavera-porto-alegre/,Ativo,453db63b
Circuito Banco do Brasil 2025 - João Pessoa,14/09/2025,João Pessoa - PB,https://www.ativo.com/calendario/eventos/america-do-sul/br/pb/joao-pessoa/corrida-de-rua/39844/circuito-banco-do-brasil-2025-joao-pessoa/,Ativo,ae91db4d
Circuito das Estações 2025 - Primavera - Curitiba,14/09/2025,Curitiba - PR,https://www.ativo.com/calendario/eventos/america-do-sul/br/pr/curitiba/corrida-de-rua/39572/circuito-das-estacoes-2025-primavera-curitiba/,Ativo,116cdf79
Circuito de Corridas Vale - Vitória - 2025,14/09/2025,Vitória - ES,https://www.ativo.com/calendario/eventos/america-do-sul/br/es/vitoria/corrida-de-rua/39878/circuito-de-corridas-vale-vitoria-2025/,Ativo,b9b1566a
1ª Corrida Juntos Pela Vida,14/09/2025,Muriaé-MG,https://www.corridao.com.br/site/corrida/index/1-corrida-juntos-pela-vida.html,Corridao,1e62951c
Corrida Arbex 10 Anos,14/09/2025,Juiz de Fora,https://www.corridao.com.br/site/corrida/index/corrida-arbex-10-anos.html,Corridao,5c5d8663
3º Cicloturismo Caminhos Do Chopotó,14/09/2025,DESTERRO DO MELO,https://www.corridao.com.br/site/corrida/index/3-cicloturismo-caminhos-do-chopot.html,Corridao,6f982cf2
Corrida Rústica Em Comemoração Aos 20 Anos Da 13ª Rpm,14/09/2025,Barbacena/MG,https://www.corridao.com.br/site/corrida/index/corrida-rustica-em-comemoracao-aos-20-anos-da-13-rpm.html,Corridao,643f5fb1
1ª Corrida Da Unimed Ubá,14/09/2025,Ubá,https://www.corridao.com.br/site/corrida/index/1-corrida-da-unimed-ub.html,Corridao,f6ad5a24
Corrida E Caminhada Solidária Sicoob Credicampo 2025,14/09/2025,Entre Rios de Minas,https://www.corridao.com.br/site/corrida/index/corrida-e-caminhada-solidaria-sicoob-credicampo-2025.html,Corridao,19e8a90f
1ª Corrida Do Patrimônio Cultural De Simão Pereira,14/09/2025,SIMÃO PEREIRA,https://www.corridao.com.br/site/corrida/index/1-corrida-do-patrim-nio-cultural-de-simao-pereira.html,Corridao,90ba72d0
CORRIDA 30 ANOS MUITOS CAPOES,14/09/2025,MUITOS CAPOES - RS,https://www.youmovin.com.br/evento/corrida-30-anos-muitos-capoes_8142,YouMovin,ea7fb03a
1º DESAFIO ASTROS,14/09/2025,FORMOSA  GO,https://brasilcorrida.com.br/#/evento/1-desafio-astros,BrasilCorrida,db4cd9b2
1ª CORRIDA SPITZRUN,14/09/2025,POMERODE - SC,https://vemcorrer.com/evento/320-1o-corrida-spitzrun,VemCorrer,9debdff0
CORRIDA E CAMINHADA P. SÃO JOÃO PAULO II – PATROCÍNIO MG,14/09/2025,PATROCÍNIO MG,https://www.sporttimer.com.br/site/eventosel.php?pst=2012&ev=905,SportTimer,9aa07428
2ª MARATONA MTB DA LAPA – VAZANTE MG,14/09/2025,Vazante MG,https://www.sporttimer.com.br/site/eventosel.php?pst=2733&ev=998,SportTimer,935150aa
7ª Volta Ciclistica do Cerrado – Posse Goiás,14/09/2025,Posse Goiás,https://www.sporttimer.com.br/site/eventosel.php?pst=2397&ev=957,SportTimer,d8ea4c58
Passeio das Cachoeiras – Guarda-Mor MG,14/09/2025,Guarda-Mor MG,https://www.sporttimer.com.br/site/eventosel.php?pst=2302&ev=948,SportTimer,1d66addc
IV CIRCUITO ITUMBIARENSE DE CORRIDA DE RUA – 4ª ETAPA,14/09/2025,ITUMBIARA GO,https://www.sporttimer.com.br/site/eventosel.php?pst=2850&ev=1012,SportTimer,61b94083
CORRIDA MÃOS QUE FALAM,14/09/2025,Catalão - GO,https://www.oxyscrono.com.br/evento/corrida-maos-que-falam,OxyScrono,baff524e
LIVE! Run São Luís 2025,14/09/2025,São Luís,https://www.liverun.com.br/etapa/live-run-sao-luis-2025,LIVE! Run,82da49c8
LIVE! Run São José dos Campos 2025,14/09/2025,São José dos Campos,https://www.liverun.com.br/etapa/live-run-sao-jose-dos-campos-2025,LIVE! Run,cd0a308b
